firstname;lastname;gender;year_of_birth;age;zip;city;country;party_short;district;list;list_place_1;list_place_2;incumbent;LINK_personal_website;LINK_facebook;LINK_Twitter;LINK_Instagram;X;name_bfs;vorname_bfs
Raphael;Bühlmann;m;1992;27;5453;Remetschwil;Schweiz;EVP;Aargau;*JEVP;16;NA;0;NA;NA;NA;NA;NA;Bühlmann;Raphael
Lucas;Deubelbeiss;m;1996;23;5210;Windisch;Schweiz;EVP;Aargau;*JEVP;9;NA;0;NA;https://www.facebook.com/lucas.deubelbeiss;NA;https://www.instagram.com/luci_deubelbeiss/;NA;Deubelbeiss;Lucas
Salome;Dietiker;f;1994;25;5034;Suhr;Schweiz;EVP;Aargau;*JEVP;3;NA;0;NA;NA;NA;NA;NA;Dietiker;Salome
Deborah;Erhardt;f;1998;21;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;11;NA;0;NA;https://www.facebook.com/deborah.erhardt.1;NA;NA;NA;Erhardt;Deborah
Jonathan;Eschmann;m;1990;29;5745;Safenwil;Schweiz;EVP;Aargau;*JEVP;1;NA;0;https://www.evp-ag.ch/aktuell/;https://www.facebook.com/jonathan.eschmann;NA;NA;NA;Eschmann;Jonny
Cynthia;Hofmann;f;2000;19;5727;Oberkulm;Schweiz;EVP;Aargau;*JEVP;12;NA;0;NA;NA;NA;NA;NA;Hofmann;Cynthia
Simon;Hostettler;m;1997;22;5112;Thalheim;Schweiz;EVP;Aargau;*JEVP;4;NA;0;NA;NA;NA;NA;NA;Hostettler;Simon
Bettina;Müller;f;1987;32;5079;Zeihen;Schweiz;EVP;Aargau;*JEVP;8;NA;0;NA;NA;NA;NA;NA;Müller;Bettina
Andrea;Maluck;f;1998;21;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;15;NA;0;NA;NA;NA;NA;NA;Maluck;Andrea
Cyril;Meder;m;1992;27;4665;Oftringen;Schweiz;EVP;Aargau;*JEVP;6;NA;0;NA;https://www.facebook.com/cyril.meder;https://twitter.com/CyMarMed;https://www.instagram.com/cyrilouslyweird/;NA;Meder;Cyril
Petra;Meier;f;1987;32;5000;Aarau;Schweiz;EVP;Aargau;*JEVP;13;NA;0;NA;NA;NA;NA;NA;Meier;Petra
Joya;Süess;f;1996;23;5200;Brugg;Schweiz;EVP;Aargau;*JEVP;2;NA;0;NA;NA;NA;NA;NA;Süess;Joya
Sarah Marina;Stauffer;f;1998;21;5442;Fislisbach;Schweiz;EVP;Aargau;*JEVP;5;NA;0;NA;https://www.facebook.com/sarahmarina.stauffer;NA;NA;NA;Stauffer;Sarah Marina
Tabea;Stauffer;f;1999;20;5442;Wettingen;Schweiz;EVP;Aargau;*JEVP;10;NA;0;NA;NA;NA;NA;NA;Stauffer;Tabea Irina
Joël;Studer;m;1992;27;5033;Buchs;Schweiz;EVP;Aargau;*JEVP;7;NA;0;NA;NA;NA;NA;NA;Studer;Joël
Amani;Trevisan;f;2000;19;5210;Windisch;Schweiz;EVP;Aargau;*JEVP;14;NA;0;NA;NA;NA;NA;NA;Trevisan;Amani
Rosa;Behar;f;1965;54;1400;Yverdon Les Bains;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;15;NA;0;NA;https://www.facebook.com/rosa.behar.5;NA;NA;NA;Behar;Rosa
Domenico;Giusa;m;1972;47;1007;Lausanne;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;9;10;0;NA;https://www.facebook.com/DomenicoGiusa/;NA;NA;NA;Giusa;Domenico
Urs;Guenter;m;1963;56;1814;La Tour de Peilz;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;19;NA;0;NA;NA;NA;NA;NA;Guenter;Urs
Daniel;Gutknecht;m;1949;70;1184;Luins;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;17;NA;0;NA;https://www.facebook.com/daniel.ruch.988;NA;NA;NA;Gutknecht;Daniel
Damien;Joss;m;1981;38;1867;St Triphon;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;11;12;0;NA;NA;NA;NA;NA;Joss;Damien
Yves;Pellaux;m;1959;60;1405;Pomy;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;1;2;0;NA;https://www.facebook.com/yves.pellaux;NA;NA;NA;Pellaux;Yves
Danielle;Pernet;f;1953;66;1814;La Tour de Peilz;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;7;8;0;NA;NA;NA;NA;NA;Pernet;Danielle
Pierre;Pernet;m;1948;71;1814;La Tour de Peilz;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;13;14;0;NA;https://www.facebook.com/pierrealain.pellet;NA;NA;NA;Pernet;Pierre
Tefik;Rashiti;m;1969;50;1260;Nyon;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;3;4;0;NA;https://www.facebook.com/tefik.rashiti.54;NA;NA;NA;Rashiti;Tefik
Karima;Rashiti Bouziane;f;1977;42;1260;Nyon;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;18;NA;0;NA;https://www.facebook.com/profile.php?id=100010645324933;NA;NA;NA;Rashiti Bouziane;Karima
Michael;Rohrer;m;1959;60;1814;La Tour de Peilz;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;5;6;0;NA;https://www.facebook.com/mic.roh1;https://twitter.com/cyberfox59;NA;NA;Rohrer;Michael
Damien;Vocanson;m;1986;33;1814;La Tour de Peilz;Schweiz;BDP;Waadt;AdC / - PBD Le juste milieu;16;NA;0;NA;https://www.facebook.com/dnvocanson;NA;NA;NA;Vocanson;Damien
Myriam;Avondet;f;1989;30;1020;Renens;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;7;8;0;NA;NA;NA;NA;NA;Avondet;Myriam
Roland;Delapierre;m;1952;67;1020;Renens;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;13;14;0;NA;NA;NA;NA;NA;Delapierre;Roland
Enrico;Fiechter;m;1963;56;1580;Oleyres;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;5;6;0;NA;https://www.facebook.com/enrico.fiechter;NA;NA;NA;Fiechter;Enrico
Serge;Herren;m;1963;56;1020;Renens;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;11;12;0;NA;https://www.facebook.com/serge.herren.1;NA;NA;NA;Herren;Serge
Philippe;Kappeler;m;1979;40;1860;Aigle;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;3;4;0;NA;https://www.facebook.com/philippe.kappeler.5;NA;NA;NA;Kappeler;Philippe
Raymond;Morel;m;1963;56;1404;Cuarny;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;9;10;0;NA;NA;NA;NA;NA;Morel;Raymond
Patrice Eric;Morin;m;1964;55;1263;Crassier;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;1;2;0;NA;NA;NA;NA;NA;Morin;Patrice Eric
Walter;Muller;m;1952;67;1400;Yverdon-les-Bains;Schweiz;EDU;Waadt;AdC / - UDF - Union Démocratique Fédérale;15;16;0;NA;https://www.facebook.com/walter.muller.94617;NA;NA;NA;Muller;Walter
Jean-Daniel;André;m;1955;64;1027;Lonay;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);6;NA;0;NA;NA;NA;NA;NA;André;Jean-Daniel
François;Bachmann;m;1968;51;1305;Penthalaz;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);2;NA;0;NA;NA;NA;NA;NA;Bachmann;François
David;Baumeler;m;1971;48;1807;Blonay;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);10;NA;0;NA;NA;NA;NA;NA;Baumeler;David
Flavie;Bettex;f;1991;28;1018;Lausanne;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);3;NA;0;NA;NA;NA;NA;NA;Bettex;Flavie
Philippe;Boesch;m;1948;71;1537;Champtauroz;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);15;NA;0;NA;NA;NA;NA;NA;Boesch;Philippe
Christian;Chiffelle;m;1959;60;1020;Renens;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);13;NA;0;NA;NA;NA;NA;NA;Chiffelle;Christian
Marie-Claude;Chollet;f;1957;62;1020;Renens;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);14;NA;0;NA;NA;NA;NA;NA;Chollet;Marie-Claude
Viktor;Crettenand;m;1994;25;1263;Crassier;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);18;NA;0;NA;NA;NA;NA;NA;Crettenand;Viktor
Silvia;Hyka;f;1974;45;1052;Le Mont-sur-Lausanne;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);8;NA;0;NA;NA;NA;NA;NA;Hyka;Silvia
Jean-Marc;Mayor;m;1957;62;1063;Chapelle s/Moudon;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);16;NA;0;NA;NA;NA;NA;NA;Mayor;Jean-Marc
Philippe;Moret;m;1983;36;1196;Gland;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);9;NA;0;NA;NA;NA;NA;NA;Moret;Philippe
Alexandre;Oehen;m;1975;44;1173;Féchy;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);19;NA;0;NA;NA;NA;NA;NA;Oehen;Alexandre
Dora;Rentsch;f;1962;57;1800;Vevey;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);5;NA;0;NA;NA;NA;NA;NA;Rentsch;Dora
Désiré;Rusovsky;m;1951;68;1347;Le Sentier;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);12;NA;0;NA;NA;NA;NA;NA;Rusovsky;Désiré
Steve;Tanner;m;1972;47;1435;Essert-Pittet;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);4;NA;0;NA;NA;NA;NA;NA;Tanner;Steve
Norbert;Valley;m;1955;64;1567;Delley FR;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);1;NA;0;NA;https://www.facebook.com/norbert.valley;https://twitter.com/NorbertValley;NA;NA;Valley;Norbert
Ludger;Weber;m;1969;50;1052;Le Mont-sur-Lausanne;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);17;NA;0;NA;NA;NA;NA;NA;Weber;Ludger
Nadia;Zimmerli;f;1994;25;1030;Bussigny;Schweiz;EVP;Waadt;AdC /- Parti Evangélique (PEV);11;NA;0;NA;NA;NA;NA;NA;Zimmerli;Nadia
Bernhard;Achermann;m;1959;60;6263;Richenthal;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);1;NA;0;NA;https://www.facebook.com/bernhard.achermann.7;NA;NA;NA;Achermann;Bernhard
Räto B.;Camenisch;m;1945;74;6010;Kriens;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);2;NA;0;NA;https://www.facebook.com/raeto.camenisch;https://twitter.com/raetocamenisch;NA;NA;Camenisch;Räto
Jörg;Conrad;m;1945;74;6048;Horw;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);3;NA;0;NA;https://www.facebook.com/conrad.jorg;NA;NA;NA;Conrad;Jörg
Roland;Habermacher;m;1951;68;6005;Luzern;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);4;NA;0;NA;NA;NA;NA;NA;Habermacher;Roland
Hans Jörg;Hauser;m;1947;72;6205;Eich;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);5;NA;0;NA;https://www.facebook.com/profile.php?id=100015762734732;NA;NA;NA;Hauser;Hans Jörg
Josef;Kunz;m;1945;74;6022;Grosswangen;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);6;NA;0;NA;NA;NA;NA;NA;Kunz;Josef
Erika;Lauper;f;1947;72;6173;Flühli;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);7;NA;0;NA;NA;NA;NA;NA;Lauper-Duss;Erika
Guido;Müller;m;1958;61;6030;Ebikon;Schweiz;SVP;Luzern;Aktive Senioren Luzern (SVP);8;NA;0;http://www.guido-mueller.ch/;https://www.facebook.com/svpkantonsrat/;https://twitter.com/MuellerGuidoSVP;https://www.instagram.com/guidomuellersvp;NA;Müller;Guido
Thomas;Leuzinger;m;1984;35;8212;Neuhausen;Schweiz;AL SH;Schaffhausen;AL Schaffhausen;2;NA;0;NA;https://www.facebook.com/loizerhand;https://twitter.com/leuzerhand;https://www.instagram.com/loizerhand/;NA;Leuzinger;Thomas (Leuz)
Anna;Naeff;f;1992;27;8200;Schaffhausen;Schweiz;AL SH;Schaffhausen;AL Schaffhausen;1;NA;0;https://www.arbeitundfrieden.ch;https://www.facebook.com/alschaffhausen;NA;NA;NA;Naeff;Anna
Ezgi;Akyol;f;1986;33;8004;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;11;NA;0;NA;NA;NA;NA;NA;Akyol;Ezgi
Walter;Angst;m;1961;58;8055;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;8;NA;0;https://walterangst.ch/;https://www.facebook.com/walter.angst.7;https://twitter.com/WalterAngst;NA;NA;Angst;Walter
David;Berger;m;1979;40;8400;Winterthur;Schweiz;AL ZH;Zürich;AL-Alternative Liste;33;NA;0;NA;NA;https://twitter.com/bergerwthur?lang=en;NA;NA;Berger;David
Markus;Bischoff;m;1965;54;8049;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;6;NA;0;http://markus-bischoff.ch/start/;https://www.facebook.com/markus.bischoff.AL;NA;NA;NA;Bischoff;Markus
Stefan;Bolz;m;1959;60;8102;Oberengstringen;Schweiz;AL ZH;Zürich;AL-Alternative Liste;10;NA;0;NA;NA;NA;NA;NA;Bolz;Stefan
Alan;Chen;m;1990;29;8055;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;12;NA;0;NA;NA;NA;NA;NA;Chen;Alan
Mark;Divo;m;1966;53;8133;Esslingen;Schweiz;AL ZH;Zürich;AL-Alternative Liste;22;NA;0;NA;NA;NA;NA;NA;Divo;Mark
Natalie;Eberle;f;1967;52;8047;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;27;NA;0;NA;NA;NA;NA;NA;Eberle;Natalie
Rahel;El-Maawi;f;1977;42;8003;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;4;NA;0;https://www.el-maawi.ch/;NA;NA;NA;NA;El-Maawi;Rahel
Meggie;Ender Kaplan;f;1970;49;8038;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;19;NA;0;NA;NA;NA;NA;NA;Ender Kaplan;Margrit (Meggie)
Evelyn Christina;Funkhouser;f;1980;39;8610;Uster;Schweiz;AL ZH;Zürich;AL-Alternative Liste;13;NA;0;NA;NA;NA;NA;NA;Funkhouser;Evelyn Christina
Kathrin Anna;Gander;f;1976;43;8400;Winterthur;Schweiz;AL ZH;Zürich;AL-Alternative Liste;5;NA;0;NA;NA;NA;NA;NA;Gander;Kathrin Anna (Katharina)
David;Garcia Nuñez;m;1975;44;8001;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;7;NA;0;NA;NA;https://twitter.com/thuritch?lang=en;NA;NA;Garcia Nuñez;David
Maja;Hadian;f;1979;40;8064;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;23;NA;0;NA;NA;NA;NA;NA;Hadian;Maja
Laura;Huonker;f;1981;38;8008;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;3;NA;0;https://www.laurahuonker.ch/8422513;https://www.facebook.com/unruhebewahren.ch/;NA;https://www.instagram.com/laurahuonker/;NA;Huonker;Laura
Carolina;Iglesias;f;1974;45;8134;Adliswil;Schweiz;AL ZH;Zürich;AL-Alternative Liste;17;NA;0;NA;NA;NA;NA;NA;Iglesias;Carolina
Hanna;Jufer-Hromadka;f;1973;46;8105;Regensdorf;Schweiz;AL ZH;Zürich;AL-Alternative Liste;25;NA;0;NA;NA;NA;NA;NA;Jufer-Hromadka;Hanna
Andreas;Kirstein;m;1963;56;8046;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;14;NA;0;http://www.kirstein.ch/;NA;https://twitter.com/andreaskirstein?lang=en;NA;NA;Kirstein;Andreas
Andrea;Leitner;f;1964;55;8037;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;32;NA;0;NA;NA;NA;NA;NA;Leitner;Andrea
Lisa;Letnansky;f;1985;34;8004;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;31;NA;0;NA;NA;NA;NA;NA;Letnansky;Lisa
Tanja;Maag Sturzenegger;f;1974;45;8047;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;15;NA;0;NA;NA;NA;NA;NA;Maag Sturzenegger;Tanja
Dayana;Mordasini;f;1978;41;8704;Herrliberg;Schweiz;AL ZH;Zürich;AL-Alternative Liste;30;NA;0;NA;NA;NA;NA;NA;Mordasini;Dayana
Manuel;Sahli;m;1988;31;8405;Winterthur;Schweiz;AL ZH;Zürich;AL-Alternative Liste;9;NA;0;NA;https://www.facebook.com/fundriver;https://twitter.com/manuelsahli?lang=en;https://www.instagram.com/manuelsahli/;NA;Sahli;Manuel
Mahmut;Sarici;m;1958;61;8041;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;18;NA;0;NA;NA;NA;NA;NA;Sarici;Mahmut
Niklaus;Scherr;m;1944;75;8004;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;34;NA;0;https://niggischerr.ch/index.php?id=685;NA;NA;NA;NA;Scherr;Niklaus
Christina;Schiller;f;1989;30;8004;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;29;NA;0;NA;NA;https://twitter.com/schillercricri?lang=en;NA;NA;Schiller;Christina
Manuela;Schiller;f;1957;62;8048;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;1;NA;0;NA;NA;https://twitter.com/SchillerManuela;https://www.instagram.com/manuela.schiller2018/;NA;Schiller;Manuela
Nina;Schneider;f;1982;37;8308;Agasul;Schweiz;AL ZH;Zürich;AL-Alternative Liste;21;NA;0;NA;NA;NA;NA;NA;Schneider;Nina
Florian;Schweizer;m;1982;37;8810;Horgen;Schweiz;AL ZH;Zürich;AL-Alternative Liste;24;NA;0;NA;NA;NA;NA;NA;Schweizer;Florian
Daniel;Solinas;m;1971;48;8005;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;16;NA;0;NA;NA;NA;NA;NA;Solinas;Daniel
Peter;Vetsch;m;1965;54;8048;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;26;NA;0;NA;NA;NA;NA;NA;Vetsch;Peter
Caspar;Wellmann;m;1968;51;8057;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;20;NA;0;NA;NA;NA;NA;NA;Wellmann;Caspar
Elvira;Wiegers;f;1965;54;8037;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;2;NA;0;NA;NA;NA;NA;NA;Wiegers;Elvira
David;Winizki;m;1948;71;8005;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;28;NA;0;NA;NA;NA;NA;NA;Winizki;David
Richard;Wolff;m;1957;62;8037;Zürich;Schweiz;AL ZH;Zürich;AL-Alternative Liste;35;NA;0;https://richard-wolff.ch/;https://www.facebook.com/StadtratWolff/;NA;NA;NA;Wolff;Richard
Alois;Bissig;m;1956;63;6373;Ennetbürgen;Schweiz;überp. CVP;Nidwalden;Alois Bissig;1;NA;0;NA;https://www.facebook.com/profile.php?id=100001391464569;https://twitter.com/alobissig;NA;NA;Bissig;Alois
Luzian;Franzini;m;1996;23;6300;Zug;Schweiz;JG;Zug;Alternative - die Grünen und CSP, Junge Alternative;2;NA;0;http://www.luzianfranzini.ch;https://facebook.com/FranziniLuzian;https://twitter.com/luzian_franzini;https://www.instagram.com/luzian_franzini/;NA;Franzini;Luzian
Julia;Küng;f;2001;18;6300;Zug;Schweiz;JG;Zug;Alternative - die Grünen und CSP, Junge Alternative;3;NA;0;NA;NA;NA;NA;NA;Küng;Julia Jana
Michèle;Willimann;f;1991;28;6300;Zug;Schweiz;JG;Zug;Alternative - die Grünen und CSP, Junge Alternative;1;NA;0;NA;NA;NA;NA;NA;Willimann;Michèle
Andreas;Lustenberger;m;1986;33;6340;Baar;Schweiz;ALG;Zug;Alternative – die Grünen und CSP;2;NA;0;http://www.andreaslustenberger.ch;https://www.facebook.com/AndreasLustenbergerZG/;https://twitter.com/anlustenberger;https://www.instagram.com/andilustenberger/;NA;Lustenberger;Andreas
Manuela;Weichelt-Picard;f;1971;48;6300;Zug;Schweiz;ALG;Zug;Alternative – die Grünen und CSP;1;NA;0;https://weichelt.ch/;https://www.facebook.com/ManuelaWeicheltPicardZG/;NA;NA;NA;Weichelt-Picard;Manuela
Vroni;Straub-Müller;f;1967;52;6317;Oberwil b. Zug;Schweiz;CSP;Zug;Alternative – die Grünen und CSP;3;NA;0;NA;NA;NA;NA;NA;Straub-Müller;Vroni
Rosemarie;Fähndrich;f;1951;68;6312;Steinhausen;Schweiz;ALG;Zug;Alternative – die Grünen und CSP - Frauenpower;2;NA;0;NA;NA;NA;NA;NA;Fähndrich;Rosemarie
Esther;Haas;f;1956;63;6330;Cham;Schweiz;ALG;Zug;Alternative – die Grünen und CSP - Frauenpower;1;NA;0;NA;NA;NA;NA;NA;Haas;Esther
Tekla;Hahin;f;1957;62;6300;Zug;Schweiz;ALG;Zug;Alternative – die Grünen und CSP - Frauenpower;3;NA;0;NA;https://www.facebook.com/tekla.hahin;NA;NA;NA;Hahin;Tekla
Trix;Gubser;f;1968;51;6314;Unterägeri;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, landschaftliche Liste;2;NA;0;NA;NA;NA;NA;NA;Gubser;Trix
Rita;Hofer;f;1967;52;6331;Hünenberg;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, landschaftliche Liste;1;NA;0;NA;NA;NA;NA;NA;NA;NA
Paul;Iten;m;1958;61;6315;Oberägeri;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, landschaftliche Liste;3;NA;0;NA;NA;NA;NA;NA;Iten;Paul
Anastas;Odermatt;m;1985;34;6312;Steinhausen;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, urbane Liste;2;NA;0;NA;NA;https://twitter.com/anastasodermatt;NA;NA;Odermatt;Anastas
Stéphanie;Vuichard;f;1993;26;6300;Zug;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, urbane Liste;3;NA;0;https://www.stephanievuichard.ch/;NA;NA;NA;NA;Vuichard;Stéphanie
Tabea;Zimmermann Gibson;f;1974;45;6300;Zug;Schweiz;ALG;Zug;Alternative – die Grünen und CSP, urbane Liste;1;NA;0;NA;NA;https://twitter.com/TZimmermannG;NA;NA;Zimmermann Gibson;Tabea
Roger;Ambort;m;1982;37;3904;Naters;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;4;NA;0;NA;https://www.facebook.com/ambort;NA;NA;NA;Ambort;Roger
Elodie;Darbellay;f;2001;18;1933;Sembrancher;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;5;8;0;NA;https://www.facebook.com/profile.php?id=100008938211867;NA;NA;NA;Darbellay;Elodie
Tamar;Hosennen;f;1980;39;3900;Brig-Glis;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;2;7;0;NA;https://www.facebook.com/tamar.hosennen;https://twitter.com/tamarhos;NA;NA;Hosennen;Tamar
Philippe;Jansen;m;1995;24;1950;Sion;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;1;NA;0;NA;https://www.facebook.com/philippe.jansen.9;https://twitter.com/PhilippeJansen5;NA;NA;Jansen;Philippe
Nathan;Metthez;m;1992;27;3930;Visp;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;6;NA;0;NA;https://www.facebook.com/nathan.metthez.7;https://twitter.com/NathanMetthez;NA;NA;Metthez;Nathan
Gwenaël Louis;Richard;m;1998;21;1869;Massongex;Schweiz;glp;Wallis;Avenir écologie - Les Vert'libéraux / Zukunft und Nachaltigkeit - die Grünliberalen;3;NA;0;NA;https://www.facebook.com/gwenael.richard.334;NA;NA;NA;Richard;Gwenaël Louis
Claudia Murielle;Bétrisey Bonvin;f;1971;48;3971;Chermignon d'en Bas;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;6;NA;0;NA;https://www.facebook.com/claudia.betriseybonvin;NA;NA;NA;Bétrisey;Claudia
Natasha;Barbuto;f;1977;42;1981;Vex;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;8;NA;0;NA;NA;NA;NA;NA;Barbuto;Natasha
Julien;Besse;m;1971;48;1937;Orsières;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;5;NA;0;http://www.julien.besse.name;https://www.facebook.com/juliensbesse;NA;NA;NA;Besse;Julien
Tiffany;Duc;f;1991;28;1996;Basse-Nendaz;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;2;NA;0;NA;NA;NA;NA;NA;Duc;Tiffany
Audrey;Durrer;f;1991;28;1996;Baar;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;7;NA;0;http://www.avenirecologie.ch;https://www.facebook.com/audrey.durrer;NA;NA;NA;Durrer;Audrey
Vanessa;Maret;f;1979;40;1908;Riddes;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;3;NA;0;NA;NA;NA;NA;NA;Maret;Vanessa
Linda;Stoessel;f;2001;18;3920;Zermatt;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;1;NA;0;NA;NA;NA;NA;NA;Stoessel;Linda
Marion;Theillard;f;1990;29;1922;Salvan;Schweiz;FDP;Wallis;Avenir Écologie Citoyenne - Zukunft und Nachaltigkeit Bürgerliste;4;NA;0;NA;NA;NA;NA;NA;Theillard;Marion
Raphaël;Antonier;m;1975;44;3961;Grimentz;Schweiz;FDP;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale;5;NA;0;NA;https://www.facebook.com/raphael.antonier;NA;NA;NA;Antonier;Raphaël
Letizia;Fasano;f;1999;20;1897;Les Evouettes;Schweiz;FDP;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale;1;NA;0;NA;https://www.facebook.com/profile.php?id=100009516687282;NA;NA;NA;Fasano;Letizia
Noémie;Kuchler;f;1993;26;1950;Sion;Schweiz;FDP;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale;4;NA;0;NA;https://www.facebook.com/profile.php?id=732470200;NA;NA;NA;Kuchler-Mayor;Noémie
Florian;Piasenta;m;1984;35;1922;Salvan;Schweiz;FDP;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale;2;NA;0;NA;https://www.facebook.com/florian.piasenta;NA;NA;NA;Piasenta;Florian
Joseph;Ramuz;m;1985;34;1912;Leytron;Schweiz;FDP;Wallis;Avenir Écologie libérale-radicale / Zukunft und Nachaltigkeit Freisinnigliberale;3;NA;0;NA;NA;NA;NA;NA;Ramuz;Joseph
